Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Sport Code,Sport Name,# Participants Men's Team,# Participants Women's Team,# Participants Men Coed Team,# Participants Women Coed Team,Total # Participants Men's Team/Men Coed Team,Total # Participants Women's Team/Women Coed Team,Operating Expenses per Participant/Men's Team,Operating Expenses per Team/Men's Team,Operating Expenses per Participant/Women's Team,Operating Expenses per Team/Women's Team,Total Operating Expenses Men's Team and Women's Team,Operating Expenses per Participant/Men Coed Team,Operating Expenses per Team/Men Coed Team,Operating Expenses per Participant/Women Coed Team,Operating Expenses per Team/Women Coed Team,Total Operating Expenses Men Coed Team/Women Coed Team,Revenues Men's Team,Revenues Women's Team,Total Revenues For Men's Team and Women's Team,Revenues Men Coed Team,Revenues Women Coed Team,Total Revenues Men Coed Team/Women Coed Team,Total Revenues Men's Team and Men Coed Team,Total Revenues Women's Team and Women Coed Team,Total Revenues Men's Team/Women's Team and Coed Team,Expenses Men's Team,Expenses Women's Team,Total Expenses Men's Team and Women's Team,Expenses Men Coed Team,Expenses Women Coed Team,Total Expenses Men Coed Team and Women Coed Team,Total Expenses Men's Team and Men Coed Team,Total Expenses Women's Team and  Women Coed Team,Total Expenses Men's Team/Women's Team and Coed Team
2016,222983,00354300,Austin College,TX,6,,1,NCAA,610,648,1258,2,Basketball,24,24,,,24,24,2178,52271,2211,53059,105330,,,,,,107046,104350,211396,,,,107046,104350,211396,107046,104350,211396,,,,107046,104350,211396
2016,219602,00347800,Austin Peay State University,TN,2,,1,NCAA,2828,4107,6935,2,Basketball,15,14,,,15,14,12612,189173,10876,152261,341434,,,,,,1362961,914370,2277331,,,,1362961,914370,2277331,1347568,901387,2248955,,,,1347568,901387,2248955
2016,446048,03941300,Ave Maria University,FL,10,,2,NAIA,501,530,1031,2,Basketball,35,15,,,35,15,1830,64039,3673,55088,119127,,,,,,340579,228345,568924,,,,340579,228345,568924,328562,197987,526549,,,,328562,197987,526549
2016,176628,00244900,Avila University,MO,9,,2,NAIA,478,616,1094,2,Basketball,15,13,,,15,13,1914,28704,1726,22440,51144,,,,,,335173,304125,639298,,,,335173,304125,639298,335173,304125,639298,,,,335173,304125,639298
2016,176664,01320800,Baptist Bible College,MO,8,ACCA,8,other,125,160,285,2,Basketball,9,11,,,9,11,1227,11041,614,6755,17796,,,,,,17943,13945,31888,,,,17943,13945,31888,17943,13945,31888,,,,17943,13945,31888
2016,132471,00146600,Barry University,FL,5,,1,NCAA,1058,1831,2889,2,Basketball,19,16,,,19,16,5277,100268,3339,53428,153696,,,,,,619287,528915,1148202,,,,619287,528915,1148202,619287,528915,1148202,,,,619287,528915,1148202
2016,437103,03730300,Baton Rouge Community College,LA,12,,3,NJCAA,1672,2042,3714,2,Basketball,10,12,,,10,12,3631,36307,3686,44229,80536,,,,,,131159,157391,288550,,,,131159,157391,288550,179649,185288,364937,,,,179649,185288,364937
2016,223232,00354500,Baylor University,TX,1,,1,NCAA,5915,8172,14087,2,Basketball,14,31,,,14,31,141436,1980103,60610,1878925,3859028,,,,,,9097264,7568184,16665448,,,,9097264,7568184,16665448,9097264,7568184,16665448,,,,9097264,7568184,16665448
2016,175421,00239700,Belhaven University,MS,6,,1,NCAA,548,775,1323,2,Basketball,19,17,,,19,17,4058,77093,4545,77266,154359,,,,,,220582,235605,456187,,,,220582,235605,456187,219746,235605,455351,,,,219746,235605,455351
2016,156286,00195400,Bellarmine University,KY,5,,1,NCAA,876,1581,2457,2,Basketball,15,17,,,15,17,12836,192538,8636,146812,339350,,,,,,1238849,857418,2096267,,,,1238849,857418,2096267,1238849,857418,2096267,,,,1238849,857418,2096267
