Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Sport Code,Sport Name,# Participants Men's Team,# Participants Women's Team,# Participants Men Coed Team,# Participants Women Coed Team,Total # Participants Men's Team/Men Coed Team,Total # Participants Women's Team/Women Coed Team,Operating Expenses per Participant/Men's Team,Operating Expenses per Team/Men's Team,Operating Expenses per Participant/Women's Team,Operating Expenses per Team/Women's Team,Total Operating Expenses Men's Team and Women's Team,Operating Expenses per Participant/Men Coed Team,Operating Expenses per Team/Men Coed Team,Operating Expenses per Participant/Women Coed Team,Operating Expenses per Team/Women Coed Team,Total Operating Expenses Men Coed Team/Women Coed Team,Revenues Men's Team,Revenues Women's Team,Total Revenues For Men's Team and Women's Team,Revenues Men Coed Team,Revenues Women Coed Team,Total Revenues Men Coed Team/Women Coed Team,Total Revenues Men's Team and Men Coed Team,Total Revenues Women's Team and Women Coed Team,Total Revenues Men's Team/Women's Team and Coed Team,Expenses Men's Team,Expenses Women's Team,Total Expenses Men's Team and Women's Team,Expenses Men Coed Team,Expenses Women Coed Team,Total Expenses Men Coed Team and Women Coed Team,Total Expenses Men's Team and Men Coed Team,Total Expenses Women's Team and  Women Coed Team,Total Expenses Men's Team/Women's Team and Coed Team
2017,223232,00354500,Baylor University,TX,1,,1,NCAA,5801,8284,14085,2,Basketball,15,33,,,15,33,120368,1805516,62447,2060744,3866260,,,,,,9185513,8038038,17223551,,,,9185513,8038038,17223551,9185513,8038038,17223551,,,,9185513,8038038,17223551
2017,175421,00239700,Belhaven University,MS,6,,1,NCAA,507,735,1242,2,Basketball,18,14,,,18,14,3427,61677,4547,63659,125336,,,,,,195804,182472,378276,,,,195804,182472,378276,193357,182372,375729,,,,193357,182372,375729
2017,156286,00195400,Bellarmine University,KY,5,,1,NCAA,855,1549,2404,2,Basketball,14,16,,,14,16,15385,215391,9823,157161,372552,,,,,,1212484,787973,2000457,,,,1212484,787973,2000457,1212484,787973,2000457,,,,1212484,787973,2000457
2017,219709,00347900,Belmont University,TN,3,,1,NCAA,2139,3993,6132,2,Basketball,16,15,,,16,15,30300,484799,13660,204902,689701,,,,,,3194309,1704679,4898988,,,,3194309,1704679,4898988,3194309,1704679,4898988,,,,3194309,1704679,4898988
2017,217721,00342000,Benedict College,SC,4,,1,NCAA,1016,1061,2077,2,Basketball,13,13,,,13,13,1534,19948,1308,17010,36958,,,,,,462528,377944,840472,,,,462528,377944,840472,462528,377944,840472,,,,462528,377944,840472
2017,156295,00195500,Berea College,KY,7,,1,NCAA,680,929,1609,2,Basketball,13,14,,,13,14,3584,46597,3059,42820,89417,,,,,,162357,106345,268702,,,,162357,106345,268702,162357,106345,268702,,,,162357,106345,268702
2017,139144,00155400,Berry College,GA,6,,1,NCAA,761,1181,1942,2,Basketball,19,14,,,19,14,4399,83581,4189,58639,142220,,,,,,259052,213413,472465,,,,259052,213413,472465,240455,206606,447061,,,,240455,206606,447061
2017,219718,00348000,Bethel University,TN,9,,2,NAIA,1605,1849,3454,2,Basketball,18,17,,,18,17,6032,108574,8214,139641,248215,,,,,,707500,499060,1206560,,,,707500,499060,1206560,427922,440448,868370,,,,427922,440448,868370
2017,132602,00146700,Bethune-Cookman University,FL,2,,1,NCAA,1435,2316,3751,2,Basketball,14,14,,,14,14,18769,262771,16682,233545,496316,,,,,,985331,1029156,2014487,,,,985331,1029156,2014487,985331,1029156,2014487,,,,985331,1029156,2014487
2017,102429,00573300,Bevill State Community College,AL,12,,3,NJCAA,693,887,1580,2,Basketball,15,,,,15,0,3310,49655,0,0,49655,,,,,,99310,,99310,,,,99310,0,99310,99310,,99310,,,,99310,0,99310
2017,100937,00101200,Birmingham Southern College,AL,6,,1,NCAA,615,657,1272,2,Basketball,20,13,,,20,13,6683,133654,6067,78876,212530,,,,,,256671,176433,433104,,,,256671,176433,433104,256671,176433,433104,,,,256671,176433,433104
2017,102030,00103000,Bishop State Community College,AL,12,,3,NJCAA,692,860,1552,2,Basketball,17,19,,,17,19,2684,45631,2141,40686,86317,,,,,,250474,251094,501568,,,,250474,251094,501568,250474,251094,501568,,,,250474,251094,501568
2017,223427,00354900,Blinn College,TX,12,,3,NJCAA,4695,4190,8885,2,Basketball,21,14,,,21,14,2272,47705,3362,47064,94769,,,,,,345359,322199,667558,,,,345359,322199,667558,344768,320884,665652,,,,344768,320884,665652
2017,175430,00239800,Blue Mountain College,MS,9,,2,NAIA,253,278,531,2,Basketball,17,12,,,17,12,5227,88856,5246,62953,151809,,,,,,357421,321928,679349,,,,357421,321928,679349,357421,321928,679349,,,,357421,321928,679349
2017,217749,00342100,Bob Jones University,SC,16,,4,NCCAA,1042,1264,2306,2,Basketball,14,14,,,14,14,5605,78474,5455,76363,154837,,,,,,118098,119745,237843,,,,118098,119745,237843,118098,119745,237843,,,,118098,119745,237843
2017,158431,02055400,Bossier Parish Community College,LA,12,,3,NJCAA,1267,2180,3447,2,Basketball,12,11,,,12,11,2777,33325,4090,44991,78316,,,,,,211412,199047,410459,,,,211412,199047,410459,211412,199047,410459,,,,211412,199047,410459
2017,139199,00155600,Brenau University,GA,10,,2,NAIA,80,999,1079,2,Basketball,,17,,,0,17,0,0,2073,35243,35243,,,,,,,284595,284595,,,,0,284595,284595,,281176,281176,,,,0,281176,281176
2017,156356,00195800,Brescia University,KY,10,,2,NAIA,192,508,700,2,Basketball,21,17,,,21,17,1691,35515,1722,29282,64797,,,,,,328532,310011,638543,,,,328532,310011,638543,328532,310011,638543,,,,328532,310011,638543
2017,139205,00155700,Brewton-Parker College,GA,9,,2,NAIA,251,175,426,2,Basketball,44,26,,,44,26,1387,61026,2018,52469,113495,,,,,,420559,339035,759594,,,,420559,339035,759594,420559,339035,759594,,,,420559,339035,759594
2017,219790,00353600,Bryan College-Dayton,TN,9,,2,NAIA,394,422,816,2,Basketball,44,33,,,44,33,1128,49649,1465,48345,97994,,,,,,436755,327350,764105,,,,436755,327350,764105,436755,327350,764105,,,,436755,327350,764105
2017,176789,00245000,Calvary University,MO,16,,4,NCCAA,79,81,160,2,Basketball,12,9,,,12,9,1144,13730,948,8528,22258,,,,,,53574,37372,90946,,,,53574,37372,90946,42574,36872,79446,,,,42574,36872,79446
2017,156365,00195900,Campbellsville University,KY,9,,2,NAIA,924,1181,2105,2,Basketball,44,25,,,44,25,1770,77872,2943,73572,151444,,,,,,585577,638026,1223603,,,,585577,638026,1223603,569586,618994,1188580,,,,569586,618994,1188580
2017,219806,00348100,Carson-Newman University,TN,4,,1,NCAA,667,926,1593,2,Basketball,16,15,,,16,15,6686,106973,5934,89006,195979,,,,,,779244,478552,1257796,,,,779244,478552,1257796,598888,480001,1078889,,,,598888,480001,1078889
2017,158477,00200300,Centenary College of Louisiana,LA,7,,1,NCAA,228,292,520,2,Basketball,19,15,,,19,15,2326,44196,2621,39309,83505,,,,,,114962,114225,229187,,,,114962,114225,229187,114962,114225,229187,,,,114962,114225,229187
2017,106713,00109300,Central Baptist College,AR,9,,2,NAIA,346,253,599,2,Basketball,17,17,,,17,17,2046,34775,2265,38513,73288,,,,,,413545,158185,571730,,,,413545,158185,571730,406566,156310,562876,,,,406566,156310,562876
2017,176910,02266400,Central Christian College of the Bible,MO,16,,4,NCCAA,100,85,185,2,Basketball,16,9,,,16,9,1439,23030,2104,18936,41966,,,,,,62968,54046,117014,,,,62968,54046,117014,62968,54046,117014,,,,62968,54046,117014
2017,483045,00576300,Central Georgia Technical College,GA,12,,3,NJCAA,820,1316,2136,2,Basketball,11,13,,,11,13,3965,43617,1885,24499,68116,,,,,,200393,187998,388391,,,,200393,187998,388391,200393,187998,388391,,,,200393,187998,388391
2017,176947,00245300,Central Methodist University-College of Liberal Arts and Sciences,MO,9,,2,NAIA,487,546,1033,2,Basketball,41,29,,,41,29,1269,52045,1399,40563,92608,,,,,,715528,599039,1314567,,,,715528,599039,1314567,715528,599039,1314567,,,,715528,599039,1314567
2017,156408,00196100,Centre College,KY,6,,1,NCAA,705,735,1440,2,Basketball,15,19,,,15,19,3835,57532,3129,59458,116990,,,,,,158236,142867,301103,,,,158236,142867,301103,158236,142867,301103,,,,158236,142867,301103
2017,217688,00341900,Charleston Southern University,SC,2,,1,NCAA,1064,1729,2793,2,Basketball,16,15,,,16,15,13854,221658,9149,137236,358894,,,,,,1388912,1039703,2428615,,,,1388912,1039703,2428615,1388912,1039703,2428615,,,,1388912,1039703,2428615
2017,101028,01218200,Chattahoochee Valley Community College,AL,12,,3,NJCAA,367,449,816,2,Basketball,15,15,,,15,15,2515,37729,3000,45006,82735,,,,,,304982,290917,595899,,,,304982,290917,595899,304982,290917,595899,,,,304982,290917,595899
2017,219824,00399800,Chattanooga State Community College,TN,12,,3,NJCAA,1707,2167,3874,2,Basketball,12,12,,,12,12,2923,35076,2838,34058,69134,,,,,,298990,219162,518152,,,,298990,219162,518152,298990,219162,518152,,,,298990,219162,518152
2017,133021,00147200,Chipola College,FL,12,,3,NJCAA,327,468,795,2,Basketball,11,12,,,11,12,5043,55473,3791,45486,100959,,,,,,390155,468266,858421,,,,390155,468266,858421,390155,468266,858421,,,,390155,468266,858421
2017,219833,00348200,Christian Brothers University,TN,5,,1,NCAA,678,724,1402,2,Basketball,16,13,,,16,13,2836,45378,3116,40508,85886,,,,,,463356,440439,903795,,,,463356,440439,903795,463356,440439,903795,,,,463356,440439,903795
2017,223898,00355300,Cisco College,TX,12,,3,NJCAA,575,833,1408,2,Basketball,,14,,,0,14,0,0,2488,34830,34830,,,,,,,146766,146766,,,,0,146766,146766,,146766,146766,,,,0,146766,146766
2017,217864,00342300,Citadel Military College of South Carolina,SC,2,,1,NCAA,2315,243,2558,2,Basketball,14,,,,14,0,21407,299692,0,0,299692,,,,,,1606299,,1606299,,,,1606299,0,1606299,1514520,,1514520,,,,1514520,0,1514520
2017,217873,00342400,Claflin University,SC,5,,1,NCAA,620,1335,1955,2,Basketball,20,15,,,20,15,4893,97852,7462,111933,209785,,,,,,443694,404024,847718,,,,443694,404024,847718,443694,404024,847718,,,,443694,404024,847718
2017,223922,00355400,Clarendon College,TX,12,,3,NJCAA,282,342,624,2,Basketball,23,24,,,23,24,1362,31327,1284,30824,62151,,,,,,117377,117960,235337,,,,117377,117960,235337,117377,117960,235337,,,,117377,117960,235337
2017,138947,00155900,Clark Atlanta University,GA,4,,1,NCAA,865,2322,3187,2,Basketball,12,12,,,12,12,5740,68874,5655,67864,136738,,,,,,592804,471508,1064312,,,,592804,471508,1064312,565058,471508,1036566,,,,565058,471508,1036566
2017,139311,00897600,Clayton  State University,GA,5,,1,NCAA,1112,2394,3506,2,Basketball,13,15,,,13,15,4340,56414,2131,31969,88383,,,,,,430357,372101,802458,,,,430357,372101,802458,448290,367970,816260,,,,448290,367970,816260
2017,217882,00342500,Clemson University,SC,1,,1,NCAA,9521,9074,18595,2,Basketball,14,18,,,14,18,88800,1243206,47590,856623,2099829,,,,,,11280040,1503539,12783579,,,,11280040,1503539,12783579,7737387,4377678,12115065,,,,7737387,4377678,12115065
2017,219879,00399900,Cleveland State Community College,TN,12,,3,NJCAA,744,856,1600,2,Basketball,19,15,,,19,15,1544,29336,1998,29970,59306,,,,,,199460,125597,325057,,,,199460,125597,325057,194130,117083,311213,,,,194130,117083,311213
2017,217891,00492300,Clinton College,SC,8,MBB USCAA   WBB  NJCAA II,8,other,103,67,170,2,Basketball,15,13,,,15,13,3156,47336,3014,39178,86514,,,,,,238514,231347,469861,,,,238514,231347,469861,238514,231347,469861,,,,238514,231347,469861
2017,175519,00240100,Coahoma Community College,MS,12,,3,NJCAA,582,856,1438,2,Basketball,15,8,,,15,8,2394,35917,4468,35741,71658,,,,,,269217,221723,490940,,,,269217,221723,490940,269217,221723,490940,,,,269217,221723,490940
2017,101161,00106000,Coastal Alabama Community College,AL,12,,3,NJCAA,941,1519,2460,2,Basketball,16,15,,,16,15,1331,21291,1380,20694,41985,,,,,,184378,159711,344089,,,,184378,159711,344089,184378,159711,344089,,,,184378,159711,344089
2017,223320,00354600,Coastal Bend College,TX,12,,3,NJCAA,544,736,1280,2,Basketball,11,15,,,11,15,3455,38000,2650,39748,77748,,,,,,130397,130844,261241,,,,130397,130844,261241,121938,128698,250636,,,,121938,128698,250636
2017,218724,00345100,Coastal Carolina University,SC,8,NCAA Division I- FCS Reclassifying to FBS,8,other,4170,4810,8980,2,Basketball,13,20,,,13,20,35180,457340,17280,345602,802942,,,,,,2053766,1559126,3612892,,,,2053766,1559126,3612892,2053766,1559126,3612892,,,,2053766,1559126,3612892
2017,217907,00342700,Coker College,SC,5,,1,NCAA,381,528,909,2,Basketball,28,17,,,28,17,1835,51366,2488,42295,93661,,,,,,439800,421892,861692,,,,439800,421892,861692,439493,419018,858511,,,,439493,419018,858511
2017,132851,00147100,College of Central Florida,FL,12,,3,NJCAA,1123,1596,2719,2,Basketball,13,14,,,13,14,2611,33939,1660,23242,57181,,,,,,245639,163824,409463,,,,245639,163824,409463,245639,163824,409463,,,,245639,163824,409463
2017,217819,00342800,College of Charleston,SC,3,,1,NCAA,3226,5797,9023,2,Basketball,16,14,,,16,14,52411,838581,20098,281365,1119946,,,,,,3079689,1642894,4722583,,,,3079689,1642894,4722583,3079689,1642894,4722583,,,,3079689,1642894,4722583
2017,139250,00155800,College of Coastal Georgia,GA,9,,2,NAIA,721,1415,2136,2,Basketball,12,15,,,12,15,5120,61438,4300,64500,125938,,,,,,213658,233380,447038,,,,213658,233380,447038,213658,233380,447038,,,,213658,233380,447038
2017,178697,00250000,College of the Ozarks,MO,10,,2,NAIA,659,818,1477,2,Basketball,11,11,,,11,11,7967,87634,8324,91560,179194,,,,,,216122,216464,432586,,,,216122,216464,432586,216122,216464,432586,,,,216122,216464,432586
2017,247834,02361400,Collin County Community College District,TX,12,,3,NJCAA,4912,5134,10046,2,Basketball,15,12,,,15,12,3723,55846,4089,49073,104919,,,,,,198648,181146,379794,,,,198648,181146,379794,198648,181146,379794,,,,198648,181146,379794
2017,217934,00343000,Columbia College,SC,9,,2,NAIA,65,737,802,2,Basketball,,14,,,0,14,0,0,1127,15782,15782,,,,,,,192630,192630,,,,0,192630,192630,,186510,186510,,,,0,186510,186510
2017,177065,00245600,Columbia College,MO,9,,2,NAIA,2106,3004,5110,2,Basketball,13,13,,,13,13,6658,86550,6564,85328,171878,,,,,,552224,516278,1068502,,,,552224,516278,1068502,552224,516278,1068502,,,,552224,516278,1068502
2017,217925,00342900,Columbia International University,SC,10,,2,NAIA,224,230,454,2,Basketball,27,10,,,27,10,1156,31223,1697,16971,48194,,,,,,185710,145816,331526,,,,185710,145816,331526,185710,145816,331526,,,,185710,145816,331526
2017,219888,00348300,Columbia State Community College,TN,12,,3,NJCAA,1306,1715,3021,2,Basketball,14,11,,,14,11,1989,27850,2064,22701,50551,,,,,,159687,175389,335076,,,,159687,175389,335076,159687,175389,335076,,,,159687,175389,335076
2017,139366,00156100,Columbus State University,GA,5,,1,NCAA,1859,2747,4606,2,Basketball,23,19,,,23,19,1852,42588,2080,39511,82099,,,,,,344338,373147,717485,,,,344338,373147,717485,344338,373147,717485,,,,344338,373147,717485
2017,224004,00355700,Concordia University Texas,TX,7,,1,NCAA,527,803,1330,2,Basketball,29,18,,,29,18,2639,76526,3493,62870,139396,,,,,,228977,139385,368362,,,,228977,139385,368362,228977,139385,368362,,,,228977,139385,368362
2017,175573,00240200,Copiah-Lincoln Community College,MS,12,,3,NJCAA,848,1209,2057,2,Basketball,14,13,,,14,13,2742,38386,3040,39519,77905,,,,,,251040,248168,499208,,,,251040,248168,499208,251040,248168,499208,,,,251040,248168,499208
2017,139393,00348400,Covenant College,GA,7,,1,NCAA,457,525,982,2,Basketball,17,15,,,17,15,2358,40078,1626,24390,64468,,,,,,154256,123655,277911,,,,154256,123655,277911,147431,123155,270586,,,,147431,123155,270586
2017,177135,00245900,Crowder College,MO,12,,3,NJCAA,843,1210,2053,2,Basketball,,13,,,0,13,0,0,3392,44100,44100,,,,,,,250678,250678,,,,0,250678,250678,,241370,241370,,,,0,241370,241370
2017,106810,00109500,Crowley's Ridge College,AR,9,,2,NAIA,98,89,187,2,Basketball,17,17,,,17,17,3553,60398,3136,53305,113703,,,,,,208337,164959,373296,,,,208337,164959,373296,197177,151911,349088,,,,197177,151911,349088
2017,177144,00246000,Culver-Stockton College,MO,10,,2,NAIA,499,470,969,2,Basketball,48,25,,,48,25,1728,82964,2164,54102,137066,,,,,,487737,441290,929027,,,,487737,441290,929027,487737,441290,929027,,,,487737,441290,929027
2017,219949,00348500,Cumberland University,TN,9,,2,NAIA,691,886,1577,2,Basketball,15,15,,,15,15,3748,56219,3067,46008,102227,,,,,,526468,438571,965039,,,,526468,438571,965039,500506,428047,928553,,,,500506,428047,928553
2017,224226,00356000,Dallas Baptist University,TX,5,,1,NCAA,999,1385,2384,2,Basketball,15,,,,15,0,11362,170423,0,0,170423,,,,,,843119,,843119,,,,843119,0,843119,840396,,840396,,,,840396,0,840396
2017,224244,00694100,Dallas Christian College,TX,16,,4,NCCAA,96,78,174,2,Basketball,18,12,,,18,12,1511,27196,1551,18614,45810,,,,,,42235,35349,77584,,,,42235,35349,77584,42235,35349,77584,,,,42235,35349,77584
2017,139463,00395600,Dalton State College,GA,9,,2,NAIA,1295,1840,3135,2,Basketball,13,,,,13,0,7085,92109,0,0,92109,,,,,,349419,,349419,,,,349419,0,349419,349419,,349419,,,,349419,0,349419
2017,133386,00147500,Daytona State College,FL,12,,3,NJCAA,2110,2495,4605,2,Basketball,12,13,,,12,13,2724,32687,2245,29183,61870,,,,,,337658,336041,673699,,,,337658,336041,673699,337658,336041,673699,,,,337658,336041,673699
2017,158662,00462500,Delgado Community College,LA,12,,3,NJCAA,1815,3201,5016,2,Basketball,18,18,,,18,18,2235,40229,1777,31994,72223,,,,,,155534,174647,330181,,,,155534,174647,330181,155534,174647,330181,,,,155534,174647,330181
2017,175616,00240300,Delta State University,MS,4,,1,NCAA,931,1256,2187,2,Basketball,16,13,,,16,13,4233,67731,5368,69790,137521,,,,,,429925,409872,839797,,,,429925,409872,839797,429925,409872,839797,,,,429925,409872,839797
2017,217989,00536300,Denmark Technical College,SC,12,,3,NJCAA,135,156,291,2,Basketball,13,12,,,13,12,2314,30087,2507,30087,60174,,,,,,46430,46430,92860,,,,46430,46430,92860,46430,46430,92860,,,,46430,46430,92860
2017,158802,00200400,Dillard University,LA,9,,2,NAIA,292,908,1200,2,Basketball,14,17,,,14,17,7342,102781,5291,89950,192731,,,,,,466205,468808,935013,,,,466205,468808,935013,466205,468808,935013,,,,466205,468808,935013
2017,177214,00246100,Drury University,MO,5,,1,NCAA,917,1373,2290,2,Basketball,16,11,,,16,11,5498,87961,8606,94665,182626,,,,,,901473,703367,1604840,,,,901473,703367,1604840,901473,703367,1604840,,,,901473,703367,1604840
2017,220057,00683500,Dyersburg State Community College,TN,12,,3,NJCAA,395,759,1154,2,Basketball,16,12,,,16,12,3614,57824,4480,53760,111584,,,,,,153115,105884,258999,,,,153115,105884,258999,153115,105884,258999,,,,153115,105884,258999
2017,175643,00240400,East Central Community College,MS,12,,3,NJCAA,802,1022,1824,2,Basketball,11,14,,,11,14,1318,14495,1469,20564,35059,,,,,,209905,118498,328403,,,,209905,118498,328403,209905,118498,328403,,,,209905,118498,328403
2017,139621,01099700,East Georgia State College,GA,12,,3,NJCAA,902,1177,2079,2,Basketball,15,15,,,15,15,2796,41934,2731,40967,82901,,,,,,127144,120680,247824,,,,127144,120680,247824,127144,120680,247824,,,,127144,120680,247824
2017,175652,00240500,East Mississippi Community College,MS,12,,3,NJCAA,1183,1259,2442,2,Basketball,15,13,,,15,13,2498,37468,2882,37467,74935,,,,,,260002,223141,483143,,,,260002,223141,483143,260002,223141,483143,,,,260002,223141,483143
2017,220075,00348700,East Tennessee State University,TN,2,,1,NCAA,4211,5396,9607,2,Basketball,17,12,,,17,12,21840,371273,16375,196501,567774,,,,,,1815749,1094241,2909990,,,,1815749,1094241,2909990,1815749,1094241,2909990,,,,1815749,1094241,2909990
2017,224527,00356400,East Texas Baptist University,TX,6,,1,NCAA,592,624,1216,2,Basketball,29,32,,,29,32,3478,100862,2649,84768,185630,,,,,,280425,249935,530360,,,,280425,249935,530360,280425,249935,530360,,,,280425,249935,530360
2017,132693,00147000,Eastern Florida State College,FL,12,,3,NJCAA,2330,2456,4786,2,Basketball,15,16,,,15,16,2255,33831,2206,35297,69128,,,,,,255782,283472,539254,,,,255782,283472,539254,255782,283472,539254,,,,255782,283472,539254
2017,156620,00196300,Eastern Kentucky University,KY,2,,1,NCAA,4625,6109,10734,2,Basketball,15,15,,,15,15,16030,240455,8923,133844,374299,,,,,,1589230,1066253,2655483,,,,1589230,1066253,2655483,1589230,1066253,2655483,,,,1589230,1066253,2655483
2017,446233,03855300,Ecclesia College,AR,15,,4,NCCAA,108,81,189,2,Basketball,27,12,,,27,12,900,24294,891,10696,34990,,,,,,147322,50542,197864,,,,147322,50542,197864,147322,50542,197864,,,,147322,50542,197864
2017,133492,00148700,Eckerd College,FL,5,,1,NCAA,645,1255,1900,2,Basketball,15,11,,,15,11,7655,114824,6073,66801,181625,,,,,,854547,700696,1555243,,,,854547,700696,1555243,854547,700696,1555243,,,,854547,700696,1555243
2017,133526,00147800,Edward Waters College,FL,9,,2,NAIA,444,409,853,2,Basketball,15,15,,,15,15,1757,26360,1674,25107,51467,,,,,,184025,159046,343071,,,,184025,159046,343071,184025,159046,343071,,,,184025,159046,343071
2017,133553,00147900,Embry-Riddle Aeronautical University-Daytona Beach,FL,5,,1,NCAA,4198,1172,5370,2,Basketball,13,15,,,13,15,8451,109862,7575,113629,223491,,,,,,1481850,743236,2225086,,,,1481850,743236,2225086,1481771,749127,2230898,,,,1481771,749127,2230898
2017,139630,00156300,Emmanuel College,GA,5,,1,NCAA,421,354,775,2,Basketball,40,19,,,40,19,2307,92260,3796,72133,164393,,,,,,487429,438631,926060,,,,487429,438631,926060,484249,438131,922380,,,,484249,438131,922380
2017,139658,00156400,Emory University,GA,7,,1,NCAA,2722,3992,6714,2,Basketball,17,14,,,17,14,6050,102842,6756,94589,197431,,,,,,325050,262361,587411,,,,325050,262361,587411,313254,277789,591043,,,,313254,277789,591043
2017,487092,00156401,Emory University-Oxford College,GA,14,,3,NJCAA,409,567,976,2,Basketball,15,,,,15,0,3018,45268,0,0,45268,,,,,,115209,,115209,,,,115209,0,115209,115209,,115209,,,,115209,0,115209
2017,101143,00101500,Enterprise State Community College,AL,12,,3,NJCAA,470,398,868,2,Basketball,12,9,,,12,9,3001,36010,3107,27964,63974,,,,,,156672,117715,274387,,,,156672,117715,274387,156672,117715,274387,,,,156672,117715,274387
2017,217998,00343200,Erskine College,SC,5,,1,NCAA,292,276,568,2,Basketball,62,23,,,62,23,1085,67275,1794,41256,108531,,,,,,473662,245022,718684,,,,473662,245022,718684,473662,245022,718684,,,,473662,245022,718684
2017,177339,00246300,Evangel University,MO,9,,2,NAIA,638,823,1461,2,Basketball,24,20,,,24,20,2657,63775,3221,64416,128191,,,,,,528500,492566,1021066,,,,528500,492566,1021066,528500,492566,1021066,,,,528500,492566,1021066
2017,101189,00100300,Faulkner University,AL,9,,2,NAIA,696,1046,1742,2,Basketball,15,27,,,15,27,5707,85600,4615,124603,210203,,,,,,585934,627798,1213732,,,,585934,627798,1213732,585934,627798,1213732,,,,585934,627798,1213732
2017,220181,00349000,Fisk University,TN,10,,2,NAIA,205,434,639,2,Basketball,14,12,,,14,12,30826,431564,30456,365472,797036,,,,,,603059,449305,1052364,,,,603059,449305,1052364,603059,449305,1052364,,,,603059,449305,1052364
2017,133711,00789300,Flagler College-St Augustine,FL,5,,1,NCAA,888,1702,2590,2,Basketball,12,14,,,12,14,8151,97812,5449,76279,174091,,,,,,514526,484491,999017,,,,514526,484491,999017,513130,478919,992049,,,,513130,478919,992049
2017,133650,00148000,Florida Agricultural and Mechanical University,FL,2,,1,NCAA,2361,4491,6852,2,Basketball,16,14,,,16,14,15453,247243,14772,206806,454049,,,,,,733402,672459,1405861,,,,733402,672459,1405861,733402,672459,1405861,,,,733402,672459,1405861
2017,133669,00148100,Florida Atlantic University,FL,1,,1,NCAA,7020,8887,15907,2,Basketball,15,14,,,15,14,32572,488577,27427,383983,872560,,,,,,2358998,1838206,4197204,,,,2358998,1838206,4197204,2358998,1838206,4197204,,,,2358998,1838206,4197204
2017,133809,00148200,Florida College,FL,20,,8,other,238,251,489,2,Basketball,16,12,,,16,12,7423,118770,5723,68679,187449,,,,,,274918,170719,445637,,,,274918,170719,445637,274918,170719,445637,,,,274918,170719,445637
2017,433660,03255300,Florida Gulf Coast University,FL,3,,1,NCAA,4740,6081,10821,2,Basketball,19,16,,,19,16,21858,415305,19633,314130,729435,,,,,,1828996,1706720,3535716,,,,1828996,1706720,3535716,1828996,1706720,3535716,,,,1828996,1706720,3535716
2017,133881,00146900,Florida Institute of Technology,FL,4,,1,NCAA,2324,938,3262,2,Basketball,17,17,,,17,17,3302,56137,3540,60183,116320,,,,,,845207,724739,1569946,,,,845207,724739,1569946,825258,712656,1537914,,,,825258,712656,1537914
2017,133951,00963500,Florida International University,FL,1,,1,NCAA,11403,14807,26210,2,Basketball,15,11,,,15,11,37810,567155,30546,336007,903162,,,,,,1849772,1231560,3081332,,,,1849772,1231560,3081332,1846565,1230513,3077078,,,,1846565,1230513,3077078
2017,133979,00148600,Florida Memorial University,FL,10,,2,NAIA,433,696,1129,2,Basketball,11,9,,,11,9,12950,142450,15882,142938,285388,,,,,,306950,395438,702388,,,,306950,395438,702388,306950,395438,702388,,,,306950,395438,702388
2017,408844,02547600,Florida National University-Main Campus,FL,9,,2,NAIA,575,1446,2021,2,Basketball,40,,,,40,0,2035,81407,0,0,81407,,,,,,365045,,365045,,,,365045,0,365045,366810,,366810,,,,366810,0,366810
2017,134079,00148800,Florida Southern College,FL,5,,1,NCAA,840,1515,2355,2,Basketball,14,13,,,14,13,16504,231059,7052,91673,322732,,,,,,947176,627657,1574833,,,,947176,627657,1574833,947176,622277,1569453,,,,947176,622277,1569453
2017,133508,00147700,Florida SouthWestern State College,FL,12,,3,NJCAA,1958,2795,4753,2,Basketball,14,16,,,14,16,4778,66896,2528,40453,107349,,,,,,418960,362875,781835,,,,418960,362875,781835,389921,372178,762099,,,,389921,372178,762099
2017,133702,00148400,Florida State College at Jacksonville,FL,12,,3,NJCAA,2533,3290,5823,2,Basketball,14,8,,,14,8,2446,34250,3230,25839,60089,,,,,,174808,162788,337596,,,,174808,162788,337596,174808,162788,337596,,,,174808,162788,337596
2017,134097,00148900,Florida State University,FL,1,,1,NCAA,12663,16524,29187,2,Basketball,18,19,,,18,19,148753,2677555,81361,1545866,4223421,,,,,,17304819,6245942,23550761,,,,17304819,6245942,23550761,11422894,6245942,17668836,,,,11422894,6245942,17668836
2017,177418,00246400,Fontbonne University,MO,7,,1,NCAA,310,447,757,2,Basketball,24,14,,,24,14,1441,34593,1814,25389,59982,,,,,,83317,90548,173865,,,,83317,90548,173865,75030,85034,160064,,,,75030,85034,160064
2017,139719,00156600,Fort Valley State University,GA,4,,1,NCAA,878,1234,2112,2,Basketball,16,12,,,16,12,4300,68792,2830,33960,102752,,,,,,211281,144230,355511,,,,211281,144230,355511,211281,144230,355511,,,,211281,144230,355511
2017,218061,00922600,Francis Marion University,SC,5,,1,NCAA,936,2016,2952,2,Basketball,15,17,,,15,17,4347,65204,3641,61905,127109,,,,,,436494,482132,918626,,,,436494,482132,918626,440411,483414,923825,,,,440411,483414,923825
